name,ticker,identifier,SEDOL,weight,sector,shares_held,local_currency
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.269166,Technology,983970,USD
AMPHENOL CORP CL A,APH,032095101,2145084,0.26663,Technology,1929694,USD
GILEAD SCIENCES INC,GILD,375558103,2369174,0.260879,Healthcare,1960898,USD
EATON CORP PLC,ETN,G29183103,B8KQN82,0.257709,Industrials,615005,USD
ADOBE INC,ADBE,00724F101,2008154,0.256898,Technology,670417,USD
BOSTON SCIENTIFIC CORP,BSX,101137107,2113434,0.253539,Healthcare,2340564,USD
PFIZER INC,PFE,717081103,2684703,0.252761,Healthcare,8984185,USD
PROGRESSIVE CORP,PGR,743315103,2705024,0.252278,Financial Services,925846,USD
PALO ALTO NETWORKS INC,PANW,697435105,B87ZMX0,0.249791,Technology,1054963,USD
UNION PACIFIC CORP,UNP,907818108,2914734,0.239833,Industrials,936976,USD
LOWE S COS INC,LOW,548661107,2536763,0.233578,Consumer Cyclical,885937,USD
KLA CORP,KLAC,482480100,2480138,0.232675,Technology,208534,USD
CAPITAL ONE FINANCIAL CORP,COF,14040H105,2654461,0.232204,Financial Services,1010033,USD
DANAHER CORP,DHR,235851102,2250870,0.231418,Healthcare,1006764,USD
HONEYWELL INTERNATIONAL INC,HON,438516106,2020459,0.228761,Industrials,1002884,USD
STRYKER CORP,SYK,863667101,2853688,0.225041,Healthcare,543644,USD
CROWDSTRIKE HOLDINGS INC   A,CRWD,22788C105,BJJP138,0.220809,Technology,393966,USD
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,0.219304,Healthcare,2023674,USD
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,0.207242,Technology,640051,USD
CONSTELLATION ENERGY,CEG,21037T109,BMH4FS1,0.206536,Utilities,493673,USD
BLACKSTONE INC,BX,09260D107,BKF2SL7,0.203263,Financial Services,1164279,USD
DEERE + CO,DE,244199105,2261203,0.201746,Industrials,398106,USD
ANALOG DEVICES INC,ADI,032654105,2032067,0.200648,Technology,784340,USD
ALTRIA GROUP INC,MO,02209S103,2692632,0.200525,Consumer Defensive,2654331,USD
WELLTOWER INC,WELL,95040Q104,BYVYHH4,0.199016,Real Estate,1056348,USD
T MOBILE US INC,TMUS,872590104,B94Q9V0,0.198697,Communication Services,764936,USD
CONOCOPHILLIPS,COP,20825C104,2685717,0.196437,Energy,1974204,USD
COMCAST CORP CLASS A,CMCSA,20030N101,2044545,0.194697,Communication Services,5820981,USD
SOUTHERN CO/THE,SO,842587107,2829601,0.193903,Utilities,1737581,USD
ROBINHOOD MARKETS INC   A,HOOD,770700102,BP0TQN6,0.19284,Financial Services,1222297,USD
CHUBB LTD,CB,H1467J104,B3BQMF6,0.188115,Financial Services,585453,USD
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.187505,Healthcare,404993,USD
LOCKHEED MARTIN CORP,LMT,539830109,2522096,0.186074,Industrials,324505,USD
PROLOGIS INC,PLD,74340W103,B44WZD7,0.185118,Real Estate,1465876,USD
MARSH + MCLENNAN COS,MMC,571748102,2567741,0.182535,Financial Services,776611,USD
DUKE ENERGY CORP,DUK,26441C204,B7VD3F2,0.177231,Utilities,1228958,USD
CVS HEALTH CORP,CVS,126650100,2577609,0.177167,Healthcare,2003156,USD
DOORDASH INC   A,DASH,25809K105,BN13P03,0.176543,Consumer Cyclical,584530,USD
CME GROUP INC,CME,12572Q105,2965839,0.175416,Financial Services,569180,USD
MCKESSON CORP,MCK,58155Q103,2378534,0.170724,Healthcare,196937,USD
NEWMONT CORP,NEM,651639106,2636607,0.167764,Basic Materials,1735543,USD
TRANE TECHNOLOGIES PLC,TT,G8994E103,BK9ZQ96,0.165201,Industrials,351347,USD
PARKER HANNIFIN CORP,PH,701094104,2671501,0.164305,Industrials,201933,USD
INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,BFSSDS9,0.161629,Financial Services,903876,USD
BRISTOL MYERS SQUIBB CO,BMY,110122108,2126335,0.160428,Healthcare,3214336,USD
STARBUCKS CORP,SBUX,855244109,2842255,0.1599,Consumer Cyclical,1795029,USD
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.159812,Technology,430460,USD
AMERICAN TOWER CORP,AMT,03027X100,B7FBFL2,0.156704,Real Estate,739354,USD
O REILLY AUTOMOTIVE INC,ORLY,67103H107,B65LWX6,0.1554,Consumer Cyclical,1339935,USD
GENERAL DYNAMICS CORP,GD,369550108,2365161,0.150688,Industrials,398641,USD
NORTHROP GRUMMAN CORP,NOC,666807102,2648806,0.150449,Industrials,212535,USD
SYNOPSYS INC,SNPS,871607107,2867719,0.145687,Technology,292351,USD
WASTE MANAGEMENT INC,WM,94106L109,2937667,0.145673,Industrials,585208,USD
KKR + CO INC,KKR,48251W104,BG1FRR1,0.14493,Financial Services,1083450,USD
COINBASE GLOBAL INC  CLASS A,COIN,19260Q107,BMC9P69,0.144845,Financial Services,357350,USD
THE CIGNA GROUP,CI,125523100,BHJ0775,0.143909,Healthcare,421484,USD
ELEVANCE HEALTH INC,ELV,036752103,BSPHGL4,0.142751,Healthcare,355942,USD
MONDELEZ INTERNATIONAL INC A,MDLZ,609207105,B8CKK03,0.142551,Consumer Defensive,2043237,USD
3M CO,MMM,88579Y101,2595708,0.142091,Industrials,841357,USD
EQUINIX INC,EQIX,29444U700,BVLZX12,0.140587,Real Estate,154668,USD
AON PLC CLASS A,AON,G0403H108,BLP1HW5,0.139277,Financial Services,340617,USD
NIKE INC  CL B,NKE,654106103,2640147,0.138956,Consumer Cyclical,1876572,USD
ARTHUR J GALLAGHER + CO,AJG,363576109,2359506,0.138763,Financial Services,405053,USD
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,0.138542,Basic Materials,366652,USD
ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.137932,Consumer Cyclical,398819,USD
WILLIAMS COS INC,WMB,969457100,2967181,0.137076,Energy,1928358,USD
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.136432,Technology,263352,USD
MOODY S CORP,MCO,615369105,2252058,0.134018,Financial Services,243837,USD
HOWMET AEROSPACE INC,HWM,443201108,BKLJ8V2,0.133138,Industrials,637002,USD
BANK OF NEW YORK MELLON CORP,BK,064058100,B1Z77F6,0.132296,Financial Services,1114643,USD
PNC FINANCIAL SERVICES GROUP,PNC,693475105,2692665,0.129939,Financial Services,622173,USD
TRANSDIGM GROUP INC,TDG,893641100,B11FJK3,0.129361,Industrials,89155,USD
EMERSON ELECTRIC CO,EMR,291011104,2313405,0.127202,Industrials,889118,USD
US BANCORP,USB,902973304,2736035,0.126381,Financial Services,2458368,USD
ECOLAB INC,ECL,278865100,2304227,0.124728,Basic Materials,403772,USD
JOHNSON CONTROLS INTERNATION,JCI,G51502105,BY7QL61,0.123855,Industrials,1033539,USD
AUTOZONE INC,AZO,053332102,2065955,0.122326,Consumer Cyclical,26438,USD
HCA HEALTHCARE INC,HCA,40412C101,B4MGBG6,0.121894,Healthcare,258618,USD
PAYPAL HOLDINGS INC,PYPL,70450Y103,BYW36M8,0.11966,Financial Services,1509084,USD
FISERV INC,FI,337738108,2342034,0.119514,Technology,858405,USD
CSX CORP,CSX,126408103,2160753,0.118676,Industrials,2945273,USD
ILLINOIS TOOL WORKS,ITW,452308109,2457552,0.116533,Industrials,419062,USD
AUTODESK INC,ADSK,052769106,2065159,0.116496,Technology,338081,USD
NORFOLK SOUTHERN CORP,NSC,655844108,2641894,0.116014,Industrials,354347,USD
CORNING INC,GLW,219350105,2224701,0.115986,Technology,1231127,USD
CINTAS CORP,CTAS,172908105,2197137,0.115468,Industrials,541087,USD
TE CONNECTIVITY PLC,TEL,G87052109,BRC3N84,0.113637,Technology,466468,USD
COLGATE PALMOLIVE CO,CL,194162103,2209106,0.112977,Consumer Defensive,1276403,USD
VISTRA CORP,VST,92840M102,BZ8VJQ8,0.112424,Utilities,503004,USD
ZOETIS INC,ZTS,98978V103,B95WG16,0.112167,Healthcare,700129,USD
AMERICAN ELECTRIC POWER,AEP,025537101,2026242,0.11216,Utilities,844062,USD
QUANTA SERVICES INC,PWR,74762E102,2150204,0.111548,Industrials,235268,USD
CENCORA INC,COR,03073E105,2795393,0.110541,Healthcare,306174,USD
UNITED RENTALS INC,URI,911363109,2134781,0.10969,Industrials,101695,USD
UNITED PARCEL SERVICE CL B,UPS,911312106,2517382,0.109591,Industrials,1164795,USD
HILTON WORLDWIDE HOLDINGS IN,HLT,43300A203,BYVMW06,0.109391,Consumer Cyclical,371249,USD
TRAVELERS COS INC/THE,TRV,89417E109,2769503,0.108984,Financial Services,355366,USD
EOG RESOURCES INC,EOG,26875P101,2318024,0.105788,Energy,862185,USD
SEMPRA,SRE,816851109,2138158,0.105514,Utilities,1030319,USD
FREEPORT MCMORAN INC,FCX,35671D857,2352118,0.105212,Basic Materials,2266859,USD
MARRIOTT INTERNATIONAL  CL A,MAR,571903202,2210614,0.105061,Consumer Cyclical,355634,USD
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,0.103108,Healthcare,160841,USD
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,0.10261,Basic Materials,351554,USD
SIMON PROPERTY GROUP INC,SPG,828806109,2812452,0.102597,Real Estate,515491,USD
CUMMINS INC,CMI,231021106,2240202,0.101999,Industrials,217486,USD
AXON ENTERPRISE INC,AXON,05464C101,BDT5S35,0.09886,Industrials,123856,USD
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,0.098598,Energy,480093,USD
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.098298,Technology,170098,USD
L3HARRIS TECHNOLOGIES INC,LHX,502431109,BK9DTN5,0.098179,Industrials,295802,USD
TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,0.097855,Financial Services,2037098,USD
APOLLO GLOBAL MANAGEMENT INC,APO,03769M106,BN44JF6,0.09758,Financial Services,727012,USD
ALLSTATE CORP,ALL,020002101,2019952,0.09718,Financial Services,416176,USD
FORTINET INC,FTNT,34959E109,B5B2106,0.096993,Technology,1028784,USD
DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,0.096858,Real Estate,506326,USD
BECTON DICKINSON AND CO,BDX,075887109,2087807,0.095842,Healthcare,452488,USD
AFLAC INC,AFL,001055102,2026361,0.095763,Financial Services,760220,USD
CHIPOTLE MEXICAN GRILL INC,CMG,169656105,B0X7DZ3,0.095727,Consumer Cyclical,2117410,USD
REALTY INCOME CORP,O,756109104,2724193,0.095522,Real Estate,1444113,USD
KINDER MORGAN INC,KMI,49456B101,B3NQ4P8,0.095054,Energy,3089383,USD
GENERAL MOTORS CO,GM,37045V100,B665KZ5,0.094452,Consumer Cyclical,1503017,USD
FASTENAL CO,FAST,311900104,2332262,0.09431,Industrials,1814487,USD
DOMINION ENERGY INC,D,25746U109,2542049,0.093263,Utilities,1347300,USD
NXP SEMICONDUCTORS NV,NXPI,N6596X109,B505PN7,0.092773,Technology,397882,USD
DATADOG INC   CLASS A,DDOG,23804L103,BKT9Y49,0.092004,Technology,510493,USD
PHILLIPS 66,PSX,718546104,B78C4Y8,0.09185,Energy,638217,USD
AIRBNB INC CLASS A,ABNB,009066101,BMGYYH4,0.091018,Consumer Cyclical,678292,USD
WORKDAY INC CLASS A,WDAY,98138H101,B8K6ZD1,0.090329,Technology,341197,USD
MONSTER BEVERAGE CORP,MNST,61174X109,BZ07BW4,0.088993,Consumer Defensive,1125884,USD
IDEXX LABORATORIES INC,IDXX,45168D104,2459202,0.088339,Healthcare,126280,USD
VALERO ENERGY CORP,VLO,91913Y100,2041364,0.087983,Energy,490405,USD
PACCAR INC,PCAR,693718108,2665861,0.087661,Industrials,830222,USD
FEDEX CORP,FDX,31428X106,2142784,0.08743,Industrials,342818,USD
ROSS STORES INC,ROST,778296103,2746711,0.086698,Consumer Cyclical,516977,USD
XCEL ENERGY INC,XEL,98389B100,2614807,0.085838,Utilities,934200,USD
EXELON CORP,EXC,30161N101,2670519,0.085284,Utilities,1595852,USD
SLB LTD,SLB,806857108,2779201,0.084827,Energy,2355437,USD
PUBLIC STORAGE,PSA,74460D109,2852533,0.083473,Real Estate,249718,USD
DELL TECHNOLOGIES  C,DELL,24703L202,BHKD3S6,0.082188,Technology,480773,USD
SEAGATE TECHNOLOGY HOLDINGS,STX,G7997R103,BKVD2N4,0.08206,Technology,337146,USD
REPUBLIC SERVICES INC,RSG,760759100,2262530,0.081881,Industrials,320305,USD
CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,0.081492,Industrials,1266801,USD
AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.08096,Financial Services,148735,USD
ELECTRONIC ARTS INC,EA,285512109,2310194,0.080764,Communication Services,355641,USD
AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.080749,Financial Services,874811,USD
FORD MOTOR CO,F,345370860,2615468,0.080034,Consumer Cyclical,6178149,USD
METLIFE INC,MET,59156R108,2573209,0.079926,Financial Services,882506,USD
BAKER HUGHES CO,BKR,05722G100,BDHLTQ5,0.079621,Energy,1557030,USD
CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,0.079001,Real Estate,462714,USD
TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,0.07833,Communication Services,273809,USD
ONEOK INC,OKE,682680103,2130109,0.078246,Energy,997510,USD
EDWARDS LIFESCIENCES CORP,EW,28176E108,2567116,0.077834,Healthcare,927167,USD
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.077684,Technology,75652,USD
CROWN CASTLE INC,CCI,22822V101,BTGQCX1,0.076256,Real Estate,688312,USD
ENTERGY CORP,ETR,29364G103,2317087,0.076229,Utilities,704819,USD
MSCI INC,MSCI,55354G100,B2972D2,0.075917,Financial Services,122254,USD
WARNER BROS DISCOVERY INC,WBD,934423104,BM8JYX3,0.075893,Communication Services,3909076,USD
DR HORTON INC,DHI,23331A109,2250687,0.075406,Consumer Cyclical,438160,USD
CORTEVA INC,CTVA,22052L104,BK73B42,0.075259,Basic Materials,1072081,USD
WW GRAINGER INC,GWW,384802104,2380863,0.074799,Industrials,69528,USD
AMETEK INC,AME,031100100,2089212,0.074429,Industrials,365661,USD
KROGER CO,KR,501044101,2497406,0.073856,Consumer Defensive,959747,USD
BLOCK INC,XYZ,852234103,BYNZGK1,0.073595,Technology,868101,USD
PAYCHEX INC,PAYX,704326107,2674458,0.073065,Technology,512579,USD
GARMIN LTD,GRMN,H2906T109,B3Z5T14,0.072767,Technology,258405,USD
EBAY INC,EBAY,278642103,2293819,0.072536,Consumer Cyclical,721494,USD
PUBLIC SERVICE ENTERPRISE GP,PEG,744573106,2707677,0.072252,Utilities,789070,USD
NASDAQ INC,NDAQ,631103108,2965107,0.072246,Financial Services,715787,USD
FAIR ISAAC CORP,FICO,303250104,2330299,0.071871,Technology,38015,USD
WESTERN DIGITAL CORP,WDC,958102105,2954699,0.071741,Technology,547466,USD
RESMED INC,RMD,761152107,2732903,0.071494,Healthcare,231511,USD
VULCAN MATERIALS CO,VMC,929160109,2931205,0.071449,Basic Materials,208777,USD
KIMBERLY CLARK CORP,KMB,494368103,2491839,0.071049,Consumer Defensive,523363,USD
YUM  BRANDS INC,YUM,988498101,2098876,0.070733,Consumer Cyclical,439911,USD
COPART INC,CPRT,217204106,2208073,0.070136,Industrials,1407815,USD
TARGET CORP,TGT,87612E106,2259101,0.069925,Consumer Defensive,720090,USD
AGILENT TECHNOLOGIES INC,A,00846U101,2520153,0.069657,Healthcare,449078,USD
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,0.068431,Basic Materials,95312,USD
ROCKWELL AUTOMATION INC,ROK,773903109,2754060,0.067332,Industrials,177693,USD
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.067237,Healthcare,377497,USD
SYSCO CORP,SYY,871829107,2868165,0.067111,Consumer Defensive,753475,USD
DELTA AIR LINES INC,DAL,247361702,B1W9D46,0.066858,Industrials,1024484,USD
WEC ENERGY GROUP INC,WEC,92939U106,BYY8XK8,0.066484,Utilities,508624,USD
CONSOLIDATED EDISON INC,ED,209115104,2216850,0.06647,Utilities,571792,USD
HARTFORD INSURANCE GROUP INC,HIG,416515104,2476193,0.065067,Financial Services,444192,USD
XYLEM INC,XYL,98419M100,B3P2CN8,0.063147,Industrials,385384,USD
KEURIG DR PEPPER INC,KDP,49271V100,BD3W133,0.062943,Consumer Defensive,2147151,USD
OTIS WORLDWIDE CORP,OTIS,68902V107,BK531S8,0.06291,Industrials,619388,USD
FIDELITY NATIONAL INFO SERV,FIS,31620M106,2769796,0.06264,Technology,825071,USD
PRUDENTIAL FINANCIAL INC,PRU,744320102,2819118,0.06258,Financial Services,556031,USD
P G + E CORP,PCG,69331C108,2689560,0.062564,Utilities,3474518,USD
ARCH CAPITAL GROUP LTD,ACGL,G0450A105,2740542,0.061663,Financial Services,587346,USD
VERISK ANALYTICS INC,VRSK,92345Y106,B4P9W92,0.06091,Industrials,220720,USD
IQVIA HOLDINGS INC,IQV,46266C105,BDR73G1,0.060457,Healthcare,268707,USD
HUMANA INC,HUM,444859102,2445063,0.060436,Healthcare,189961,USD
EQT CORP,EQT,26884L109,2319414,0.059427,Energy,985364,USD
VICI PROPERTIES INC,VICI,925652109,BYWH073,0.059238,Real Estate,1685258,USD
WILLIS TOWERS WATSON PLC,WTW,G96629103,BDB6Q21,0.058986,Financial Services,154171,USD
TARGA RESOURCES CORP,TRGP,87612G101,B55PZY3,0.058804,Energy,339833,USD
WABTEC CORP,WAB,929740108,2955733,0.058624,Industrials,270298,USD
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.058569,Technology,853942,USD
GE HEALTHCARE TECHNOLOGY,GEHC,36266G107,BL6JPG8,0.058164,Healthcare,721451,USD
COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.057698,Technology,772327,USD
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.057649,Technology,2080999,USD
KENVUE INC,KVUE,49177J102,BQ84ZQ6,0.057478,Consumer Defensive,3040577,USD
COSTAR GROUP INC,CSGP,22160N109,2262864,0.05746,Real Estate,669616,USD
STATE STREET CORP,STT,857477103,2842040,0.056529,Financial Services,448561,USD
UNITED AIRLINES HOLDINGS INC,UAL,910047109,B4QG225,0.056099,Industrials,511129,USD
NRG ENERGY INC,NRG,629377508,2212922,0.055627,Utilities,305402,USD
DUPONT DE NEMOURS INC,DD,26614N102,BK0VN47,0.055461,Basic Materials,662808,USD
VENTAS INC,VTR,92276F100,2927925,0.055293,Real Estate,719050,USD
INTERACTIVE BROKERS GRO CL A,IBKR,45841N107,B1WT4X2,0.055112,Financial Services,703407,USD
NUCOR CORP,NUE,670346105,2651086,0.054975,Basic Materials,362297,USD
OCCIDENTAL PETROLEUM CORP,OXY,674599105,2655408,0.05434,Energy,1135517,USD
EXTRA SPACE STORAGE INC,EXR,30225T102,B02HWR9,0.054152,Real Estate,335937,USD
IRON MOUNTAIN INC,IRM,46284V101,BVFTF03,0.054122,Real Estate,468084,USD
CARNIVAL CORP,CCL,143658300,2523044,0.053904,Consumer Cyclical,1714616,USD
EMCOR GROUP INC,EME,29084Q100,2474164,0.053351,Industrials,70797,USD
DTE ENERGY COMPANY,DTE,233331107,2280220,0.052482,Utilities,329122,USD
ARCHER DANIELS MIDLAND CO,ADM,039483102,2047317,0.052439,Consumer Defensive,759160,USD
TRACTOR SUPPLY COMPANY,TSCO,892356106,2900335,0.051486,Consumer Cyclical,836056,USD
HERSHEY CO/THE,HSY,427866108,2422806,0.05121,Consumer Defensive,234765,USD
EQUIFAX INC,EFX,294429105,2319146,0.05118,Industrials,195739,USD
RAYMOND JAMES FINANCIAL INC,RJF,754730109,2718992,0.050984,Financial Services,280170,USD
ATMOS ENERGY CORP,ATO,049560105,2315359,0.050898,Utilities,254022,USD
M + T BANK CORP,MTB,55261F104,2340168,0.050725,Financial Services,247055,USD
BROWN + BROWN INC,BRO,115236101,2692687,0.050402,Financial Services,462716,USD
AMEREN CORPORATION,AEE,023608102,2050832,0.05035,Utilities,427779,USD
AMERICAN WATER WORKS CO INC,AWK,030420103,B2R3PV1,0.050021,Utilities,308142,USD
PPL CORP,PPL,69351T106,2680905,0.049381,Utilities,1168263,USD
INGERSOLL RAND INC,IR,45687V106,BL5GZ82,0.049374,Industrials,571456,USD
KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,BQZJ0Q9,0.049219,Technology,271811,USD
FIFTH THIRD BANCORP,FITB,316773100,2336747,0.049199,Financial Services,1044940,USD
BROADRIDGE FINANCIAL SOLUTIO,BR,11133T103,B1VP7R6,0.048938,Technology,185113,USD
LENNAR CORP A,LEN,526057104,2511920,0.048515,Consumer Cyclical,359785,USD
EVERSOURCE ENERGY,ES,30040W108,BVVN4Q8,0.048168,Utilities,586396,USD
TELEDYNE TECHNOLOGIES INC,TDY,879360105,2503477,0.047852,Technology,74277,USD
SUPER MICRO COMPUTER INC,SMCI,86800U302,BRC3N73,0.047453,Technology,790685,USD
AVALONBAY COMMUNITIES INC,AVB,053484101,2131179,0.04727,Real Estate,225626,USD
GENERAL MILLS INC,GIS,370334104,2367026,0.047265,Consumer Defensive,843736,USD
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,0.047229,Energy,297516,USD
METTLER TOLEDO INTERNATIONAL,MTD,592688105,2126249,0.04691,Healthcare,32440,USD
